"phylum","class","order","family","genus","species","acceptedScientificName","taxonomicStatus","iucnRedListCategory","decimalLatitude","decimalLongitude","issues"
"Chordata","Aves","Falconiformes","Falconidae","Daptrius",NA,"Daptrius Vieillot, 1816","ACCEPTED","NE",8.994792,-73.960524,"cdc,cdround,txmathi"
"Chordata","Amphibia","Anura","Bufonidae","Rhinella","Rhinella horribilis","Rhinella horribilis (Wiegmann, 1833)","ACCEPTED","LC",8.989016,-73.974019,"cdc,cdround"
"Chordata","Squamata",NA,"Iguanidae","Iguana","Iguana iguana","Iguana iguana (Linnaeus, 1758)","ACCEPTED","LC",9.23588,-74.74577,"cdc,cdround"
"Chordata","Aves","Piciformes","Galbulidae","Galbula","Galbula ruficauda","Galbula ruficauda Cuvier, 1816","ACCEPTED","LC",9.116431,-74.55994,"cdc,cdround"
"Chordata","Squamata",NA,"Colubridae","Tantilla","Tantilla semicincta","Tantilla semicincta (Duméril, Bibron & Duméril, 1854)","ACCEPTED","LC",8.07508,-73.66947,"cdc,cdround"
"Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus","Equus caballus Linnaeus, 1758","ACCEPTED","NE",8.295955,-73.67034,"cdc"
"Chordata","Crocodylia",NA,"Alligatoridae","Caiman","Caiman crocodilus","Caiman crocodilus (Linnaeus, 1758)","ACCEPTED","LC",8.296197,-73.659982,"cdc"
"Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus","Leptodactylus fuscus","Leptodactylus fuscus (Schneider, 1799)","ACCEPTED","LC",8.070313,-73.684398,"cdc,cdround"
"Chordata","Aves","Passeriformes","Tyrannidae","Machetornis","Machetornis rixosa","Machetornis rixosa (Vieillot, 1819)","ACCEPTED","LC",9.242367,-74.423638,"cdc,cdround"
"Chordata","Squamata",NA,"Corytophanidae","Basiliscus","Basiliscus basiliscus","Basiliscus basiliscus (Linnaeus, 1758)","ACCEPTED","LC",9.242235,-74.423547,"cdc,cdround"
